name,PLD,desity(g/cm^3),VSA(m^2/cm^3),GSA(m^2/g),Vp(cm^3/g),void_fraction,C/wt%,H/wt%,N/wt%,F/wt%,total degree of unsaturation,metalic percentage,electronegtive-to-total ratio,weighted electronegativity per atom,target
GaFFIVE_6_Zn_i,4.38311,1.06173,903.59,851.053,0.355203,0.37713,60.44905226,3.551149053,7.049453626,11.95165988,91,5,0.113924051,2.497594937,30.18583736
GaFFIVE_7_Cd,10.64521,0.649088,1765.75,2720.36,1.08195,0.70228,44.93067841,3.142267077,8.732883918,14.80575147,22,8.333333333,0.163636364,2.495636364,87.83619442
GaFFIVE_7_Co,9.79087,0.682542,1762.42,2582.14,0.987881,0.67427,49.01632041,3.428000095,9.526983598,16.15206989,22,8.333333333,0.163636364,2.495636364,84.78768459
GaFFIVE_7_Cu,9.9406,0.667277,1769.36,2651.62,1.0198,0.68049,48.63483215,3.401320374,9.452836205,16.02636023,22,8.333333333,0.163636364,2.530181818,86.5814485
GaFFIVE_7_Fe,10.29647,0.646897,1740.58,2690.67,1.05011,0.67931,49.27505513,3.446094939,9.577272183,16.23732928,22,8.333333333,0.163636364,2.495636364,87.23875776
GaFFIVE_7_Ni,10.0787,0.669375,1740.2,2599.74,1.00809,0.67479,49.0363319,3.429399617,9.530873102,16.15866417,22,8.333333333,0.163636364,2.495636364,84.63126436
GaFFIVE_7_Zn,10.18709,0.660701,1747.47,2644.88,1.03,0.68052,48.48480771,3.39082828,9.423676929,15.97692353,22,8.333333333,0.163636364,2.525636364,86.10288876
GeFSIX_1_Cd,7.74674,0.90151,1651.16,1831.55,0.670298,0.60428,39.2898967,2.637863017,9.16382621,18.64364643,9,5,0.208333333,2.546666667,56.47079069
GeFSIX_1_Co,7.06688,0.948403,1557.9,1642.66,0.586923,0.55664,43.05581196,2.890700755,10.04217398,20.43062981,9,5,0.208333333,2.546666667,49.83900999
GeFSIX_1_Cu,7.16712,0.930429,1571.14,1688.62,0.61261,0.56999,42.70274114,2.866996125,9.959825079,20.2630924,9,5,0.208333333,2.58625,49.7564606
